code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain
КБ-2014-Р5-0094,Тарелка,"Тарелка фаянсовая с белой поливой снаружи и внутри с золотым линейным орнаментом и клеймом на донце, фр-ая",фаянс,"Двен=24; Ддон=13,5; выс=3 см",Фрагмент,,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р5-0094_orig.jpg,startswith,1,КБ-2014-Р5-0094,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
КБ-2014-Р6-018,Крышка,Крышка фарфоровая с бело-голубой поливой снаружи и белой поливой внутри со сквозным отверстием,фарфор,D=7.3 см,Целый,Слой 1/ техноген,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-018_orig.jpg,startswith,1,КБ-2014-Р6-018,Фарфор,крышка,0,часть не указана,1,целый,0,0,0
КБ-2014-Р6-068,Крышка,Крышка от сосуда фарфоровая с белой поливой снаружи и внутри,фарфор,D=4 ; Выс=3 см,Целый,Слой 5/ Щепа и переотложенная щепа,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-068_orig.jpg,startswith,1,КБ-2014-Р6-068,Фарфор,крышка,0,часть не указана,1,целый,0,0,0
КБ-2014-Р6-072,Блюдце,Блюдца фарфорового с  белой поливой снаружи и белой поливой с полихромным надглазурным цветочным орнаментом внутри профиль,фарфор,D=14 см,Фрагмент,Слой 5/ Щепа и переотложенная щепа,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-072_orig.jpg,startswith,1,КБ-2014-Р6-072,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
КБ-2014-Р6-091,Крышка,Сосуда красноглиняного с бежевой поливой снаружи и внутри крышки фр-т,керамика,,Фрагмент,Слой 2/ Слой засыпки с известковым раствором и кирпичной крошкой (слой разрушения дома),ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-091_orig.jpg,startswith,1,КБ-2014-Р6-091,Керамика,крышка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р6-096,Тарелка,Тарелки фарфоровой с белой поливой снаружи и белой поливой с полихромным надглазурным цветочным орнаментов внутри профиль,фарфор,Dвен=25; Dдон=12; Выс=2.5 см,Фрагмент,Слой 5/ Щепа и переотложенная щепа,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-096_orig.jpg,startswith,1,КБ-2014-Р6-096,Фарфор,тарелка,0,профиль,0,фрагмент,0,0,0
КБ-2014-Р6-111,Тарелка,Тарелки фарфоровой с белой поливой снаружи и внутри донца с клеймом фр-т,фарфор,,Фрагмент,Слой 5/ Щепа и переотложенная щепа,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-111_orig.jpg,startswith,1,КБ-2014-Р6-111,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0
КБ-2014-Р6-123,Крышка,Сосуда красноглиняного крышки фр-т,керамика,D=20 см,Фрагмент,Слой 5/ Щепа и переотложенная щепа (зап.щепы и серый мешаный песок),ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-123_orig.jpg,startswith,1,КБ-2014-Р6-123,Керамика,крышка,0,часть не указана,1,фрагмент,0,0,0
КБ-2014-Р6-194,Тарелка,Тарелки фарфоровой с белой поливой снаружи и внутри донца с клеймом фр-т,фарфор,,Фрагмент,Слой 2/ Слой засыпки с известковым раствором и кирпичной крошкой (слой разрушения дома),ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-194_orig.jpg,startswith,1,КБ-2014-Р6-194,Фарфор,тарелка,0,донце,0,фрагмент,0,0,0
ЛАО-2012-М102-Ш1-005,Миска,Сосуда красноглиняного с желто-зеленой поливой внутри профиль,керамика,"Д венчика16, Д донца 12 см",Фрагмент,Строительный мусор (битый кирпич),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш1-005_orig.jpg,startswith,1,ЛАО-2012-М102-Ш1-005,Керамика,миска,0,профиль,0,фрагмент,0,0,0
ЛАО-2012-М102-Ш1-057,Изразец,Изразца красноглиняного с сюжетным орнаментом кобальтовой росписью по белому фону фр-т,керамика,,Фрагмент,Серо-коричневая мешаная супесь,ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш1-057_orig.jpg,startswith,1,ЛАО-2012-М102-Ш1-057,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш4-179,Миска,Миски красноглиняной с полихромной росписью по коричневой поливе внутри профиль,керамика,"Д венчика 26, Д донца 18 см",Фрагмент,Мешаный темно-коричневый гумусированный слой с включениями битого кирпича,ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш4-179_orig.jpg,startswith,1,ЛАО-2012-М102-Ш4-179,Керамика,миска,0,профиль,0,фрагмент,0,0,0
ЛАО-2012-М102-Ш4-181,Изразец,Изразца красноглиняного с сюжетным орнаментом и кобальтовой росписью по белому фону фр-т,керамика,8+х8 см,Фрагмент,Мешаный темно-коричневый гумусированный слой с включениями битого кирпича,ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш4-181_orig.jpg,startswith,1,ЛАО-2012-М102-Ш4-181,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш4-182,Изразец,Изразца красноглиняного с сюжетным орнаментом и кобальтовой росписью по белому фону фр-т,керамика,22х11 см,Фрагмент,Мешаный темно-коричневый гумусированный слой с включениями битого кирпича,ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш4-182_orig.jpg,startswith,1,ЛАО-2012-М102-Ш4-182,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-186,Тарелка,Тарелки фаянсовой с полихромной росписью внутри профиль,фаянс,"Д венчика 25, Д донца 12 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-186_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-186,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-188,Тарелка,Тарелка фаянсовая с монохромной росписью внутри с клеймом  фрагментированная,фаянс,"Д венчика 26, Д донца 15 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-188_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-188,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-190,Тарелка,"Тарелка фаянсовая с рельефным краем, с монохромной росписью и клеймом фрагментированная",фаянс,"Д венчика 25, Д донца 14,5 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-190_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-190,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-191,Тарелка,Тарелка фаянсовая с монохромной росписью фрагментированная,фаянс,"Д венчика 26, Д донца 15 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-191_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-191,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-192,Тарелка,Тарелки фаянсовой с монохромной росписью и клеймом профиль,фаянс,"Д венчика 23, Д донца 10,5 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-192_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-192,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
ЛАО-2012-М102-Ш5-197,Тарелка,Тарелки фаянсовой с монохромной росписью профиль,фаянс,"Д венчика 26, Д донца 16 см",Фрагмент,Темно-серый гумусированный слой с включениями битого кирпича и кирпичной крошки (засыпка траншеи),ИИМК РАН,2012.0,data/raw/images/ЛАО-2012-М102-Ш5-197_orig.jpg,startswith,1,ЛАО-2012-М102-Ш5-197,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0
Маяк-11-Ш2-37,Изразец,Изразца красноглиняного плоского пластины лицевой с белой поливой фр-т,керамика,17+ х 11+ х 2 см,Фрагмент,,,2011.0,data/raw/images/Маяк-11-Ш2-37_orig.jpg,startswith,1,Маяк-11-Ш2-37,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Маяк-11-Ш3-68,Тарелка,Тарелки фарфоровой с подглазурным (?) печатным полихромным растительным орнаментом и клеймом профиль,фарфор,18 см,Фрагмент,,,2011.0,data/raw/images/Маяк-11-Ш3-68_orig.jpg,startswith,1,Маяк-11-Ш3-68,Фарфор,тарелка,0,профиль,0,фрагмент,0,0,1
Нц-23-0180,Изразец,Изразца румпы фр-т,керамика,4.4х4.2х1.6 см,Фрагмент,,,,data/raw/images/Нц-23-0180_orig.jpg,startswith,1,Нц-23-0180,Глина,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-102-1976,Плитка,Плиты шлифовальной фр-т,прочее,"8+x7,5+x1,2+ см",Фрагмент,Светлый среднезернистый песок/ гориз.7,,,data/raw/images/Нц-102-1976_orig.jpg,startswith,1,Нц-102-1976,Песчаник,прочее,1,часть не указана,1,фрагмент,0,1,0
Нц-102-1977,Плитка,Плитки шлифовальной фр-т,прочее,"6,4+x3,8+x1,6+ см",Фрагмент,Среднезернистый песок с галькой/ гориз.6,,,data/raw/images/Нц-102-1977_orig.jpg,startswith,1,Нц-102-1977,Песчаник,прочее,1,часть не указана,1,фрагмент,0,1,0
Нц-23-0561,Изразец,Изразца красноглиняного с белой поливой румпы фр-т,керамика,10+ х 4.5+ х 5 см,Фрагмент,,,,data/raw/images/Нц-23-0561_orig.jpg,startswith,1,Нц-23-0561,Глина,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-23-1080,Изразец,Изразца красноглиняного с рельефным орнаментом по зеленой поливе фр-т,керамика,,Фрагмент,Дерн,,,data/raw/images/Нц-23-1080_orig.jpg,startswith,1,Нц-23-1080,Глина,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-23-1970,Изразец,Изразца красноглиняного с коричневой поливой снаружи фр-т,керамика,,Фрагмент,Темно-серая супесь,,,data/raw/images/Нц-23-1970_orig.jpg,startswith,1,Нц-23-1970,Глина,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-24-026,Тарелка,Тарелки (?) стеклянной края фр-т,стекло,D16 см,Фрагмент,Желтая мешаная супесь/ гориз.2,,,data/raw/images/Нц-24-026_orig.jpg,startswith,1,Нц-24-026,Стекло,тарелка,0,часть не указана,1,фрагмент,0,0,1
Нц-27-617,Изразец,Изразца красноглиняного с темно-серебристой поливой и орнаментом фр-т,керамика,10.1+ x 9.5+ x 6.2+ см,Фрагмент,Серая супесь / гориз.4,,,data/raw/images/Нц-27-617_orig.jpg,startswith,1,Нц-27-617,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-30-025,Тарелка,Тарелки красноглиняного с коричнево-зеленой поливой внутри придонной части фр-т,керамика,,Фрагмент,Предматериковый слой/ гориз.5,,,data/raw/images/Нц-30-025_orig.jpg,startswith,1,Нц-30-025,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-30-065,Тарелка,Тарелки красноглиняной с растительным орнаментом и темно-зеленой поливой снаружи фр-т,керамика,D32 см,Фрагмент,Темно-серая гумусированная супесь / гориз.3,,,data/raw/images/Нц-30-065_orig.jpg,startswith,1,Нц-30-065,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-30-968,Блюдце,Блюдце фаянсовое фрагментированное,фаянс,"D8,5 см",Фрагмент,Мешаные серо-желтая и темно-серые супеси/ гориз.2,,,data/raw/images/Нц-30-968_orig.jpg,startswith,1,Нц-30-968,Фаянс,блюдце,0,часть не указана,1,фрагмент,0,0,0
Нц-31-0251,Изразец,Изразца стенового с росписью фр-т,керамика,"16,0х4,8х2,3 см",Фрагмент,Перемешанная супесь со строительным мусором/ гориз.1,,,data/raw/images/Нц-31-0251_orig.jpg,startswith,1,Нц-31-0251,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-32-0018,Изразец,Изразца красноглиняного с голубой росписью по белой поливе фр-т,керамика,,Фрагмент,Техногенный,,,data/raw/images/Нц-32-0018_orig.jpg,startswith,1,Нц-32-0018,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-32-0019,Изразец,Изразца красноглиняного с белой поливой карниза фр-т,керамика,,Фрагмент,Техногенный,,,data/raw/images/Нц-32-0019_orig.jpg,startswith,1,Нц-32-0019,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-32-0096,Изразец,Изразца красноглиняного с белой поливой снаружи фр-т,керамика,,Фрагмент,Строительный мусор/ гориз.3,,,data/raw/images/Нц-32-0096_orig.jpg,startswith,1,Нц-32-0096,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-32-0101,Тарелка,Тарелки белоглиняной с серой поливой снаружи и внутри края фр-т,керамика,,Фрагмент,Строительный мусор/ гориз.3,,,data/raw/images/Нц-32-0101_orig.jpg,startswith,1,Нц-32-0101,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-32-0785,Миска,Миски красноглиняной с зеленой поливой снаружи и внутри профиля (с частью ручки) фр-т,керамика,,Фрагмент,Темно-коричневая супесь/ гориз.3,,,data/raw/images/Нц-32-0785_orig.jpg,startswith,1,Нц-32-0785,Керамика,миска,0,профиль,0,фрагмент,0,0,0
Нц-32-0978,Изразец,Изразца красноглиняного орнаментированого  с черной поливой снаружи фр-т,керамика,4.2+ х 3.4+ см,Фрагмент,Серая мешаная супесь/ гориз.4,,,data/raw/images/Нц-32-0978_orig.jpg,startswith,1,Нц-32-0978,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-33-0129,Крышка,Сосуда стеклянного крышка,стекло,D2.2 см,Фрагмент,Техноген/ гориз.1,,,data/raw/images/Нц-33-0129_orig.jpg,startswith,1,Нц-33-0129,Стекло,крышка,0,часть не указана,1,фрагмент,0,0,0
Нц-33-0135,Изразец,Изразца красноглиняного с белой поливой румпы фр-т,керамика,,Фрагмент,Техноген/ гориз.1,,,data/raw/images/Нц-33-0135_orig.jpg,startswith,1,Нц-33-0135,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-33-0286,Тарелка,Тарелки фаянсовой донца с клеймом фр-т,фаянс,,Фрагмент,Техноген/ гориз.1,,,data/raw/images/Нц-33-0286_orig.jpg,startswith,1,Нц-33-0286,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
Нц-33-0703,Тарелка,Тарелки фаянсовой края фр-т,фаянс,,Фрагмент,Серая супесь/ гориз.3,,,data/raw/images/Нц-33-0703_orig.jpg,startswith,1,Нц-33-0703,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-33-1499,Тарелка,Тарелки фаянсовой с сюжетным орнаментом донца-т,фаянс,D7 см,Целый,Серая супесь/ гориз.5,,,data/raw/images/Нц-33-1499_orig.jpg,startswith,1,Нц-33-1499,Фаянс,тарелка,0,донце,0,целый,0,0,0
Нц-33-1733,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи донца фр-т,фаянс,D11 см,Фрагмент,Серая мешаная супесь/ гориз.4,,,data/raw/images/Нц-33-1733_orig.jpg,startswith,1,Нц-33-1733,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
Нц-33-2938,Тарелка,Тарелки красноглиняной с коричневой и белой поливой внутри края фр-т,керамика,D26 см,Фрагмент,Серая супесь/ гориз.5,,,data/raw/images/Нц-33-2938_orig.jpg,startswith,1,Нц-33-2938,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-33-2989,Тарелка,Тарелки фаянсовой с синей росписью стенки фр-т,фаянс,,Фрагмент,"Дерн со щепой, заполнение ямы/ гориз.6",,,data/raw/images/Нц-33-2989_orig.jpg,startswith,1,Нц-33-2989,Фаянс,тарелка,0,прочее,0,фрагмент,0,0,0
Нц-33-4316,Тарелка,Тарелки фаянсовой с синей монохромной росписью снаружи и внутри венчика фр-т,фаянс,,Фрагмент,Серая супесь/ гориз.5,,,data/raw/images/Нц-33-4316_orig.jpg,startswith,1,Нц-33-4316,Фаянс,тарелка,0,венчик,0,фрагмент,0,0,0
Нц-33-5212,Тарелка,Тарелки красноглиняной бело-коричневой поливой внутри и зеленой снаружи венчика фр-т,керамика,D32 см,Фрагмент,Серая супесь/ гориз.5,,,data/raw/images/Нц-33-5212_orig.jpg,startswith,1,Нц-33-5212,Керамика,тарелка,0,венчик,0,фрагмент,0,0,0
Нц-33-5563,Изразец,Изразца красноглиняного с синей росписью по белой поливе внутри придонной части фр-т,керамика,,Фрагмент,Слой строительного мусора/ гориз.1,,,data/raw/images/Нц-33-5563_orig.jpg,startswith,1,Нц-33-5563,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-33-5574,Тарелка,Тарелки белоглиняной с желтой поливой внутри и зеленой поливой снаружи края фр-т,керамика,D25 см,Фрагмент,Мешаная желтая супесь с гумусом/ гориз.3,,,data/raw/images/Нц-33-5574_orig.jpg,startswith,1,Нц-33-5574,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-33-5724,Миска,Миски красноглиняной с зеленой поливой внутри края фр-т,керамика,,Фрагмент,Мешаная желтая супесь/ гориз.2,,,data/raw/images/Нц-33-5724_orig.jpg,startswith,1,Нц-33-5724,Керамика,миска,0,часть не указана,1,фрагмент,0,0,0
Нц-33-5736,Изразец,Изразца красноглиняного с черной поливой и рельефным орнаментом фр-т,керамика,,Фрагмент,Мешаная желтая супесь/ гориз.2,,,data/raw/images/Нц-33-5736_orig.jpg,startswith,1,Нц-33-5736,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-34-079,Изразец,Изразца стенового с белой поливой фрагмент,керамика,"13,8х10,3х0,8 см",Фрагмент,Шлак/ гориз. 1,,,data/raw/images/Нц-34-079_orig.jpg,startswith,1,Нц-34-079,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-35-123,Изразец,Изразца красноглиняного с белой глазурью румпы фр-т,керамика,8+ х 18 х 5.4 см,Фрагмент,Переотложенная темно-серая гумусированная  супесь / гориз. 3,,,data/raw/images/Нц-35-123_orig.jpg,startswith,1,Нц-35-123,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-35-151,Тарелка,Сосуда (тарелки?) фарфорового донной части фр-т,фарфор,D9 см,Фрагмент,Строительный мусор/ гориз. 2,,,data/raw/images/Нц-35-151_orig.jpg,startswith,1,Нц-35-151,Фарфор,тарелка,0,часть не указана,1,фрагмент,0,0,1
Нц-36-401,Тарелка,Тарелки фаянсовой донца фр-т,фаянс,D11 см,Фрагмент,Древесная щепа/ гориз.1,,,data/raw/images/Нц-36-401_orig.jpg,startswith,1,Нц-36-401,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
Нц-37-0466,Изразец,Изразца белоглиняного с белой поливой фр-т,керамика,19+ х 6.5+ х 6.2+ см,Фрагмент,Строительный мусор/ гориз.1.1,,,data/raw/images/Нц-37-0466_orig.jpg,startswith,1,Нц-37-0466,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-37-0588,Изразец,Изразца красноглиняного с белой поливой фр-т,керамика,,Фрагмент,Строительный мусор/ гориз.1.1,,,data/raw/images/Нц-37-0588_orig.jpg,startswith,1,Нц-37-0588,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-37-0655,Изразец,Изразец красноглиняный с белой поливой фрагментированный,керамика,28 х 18.4 х 5.3 см,Фрагмент,Строительный мусор/ гориз.1.1,,,data/raw/images/Нц-37-0655_orig.jpg,startswith,1,Нц-37-0655,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-38-09,Изразец,Изразца красноглиняного румпы фр-т,керамика,D9 см,Фрагмент,Супесь желтая/ гориз.2,,,data/raw/images/Нц-38-09_orig.jpg,startswith,1,Нц-38-09,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-41-0069,Изразец,Изразца красноглиняного фр-т,керамика,,Фрагмент,Техноген/ гориз.1,,,data/raw/images/Нц-41-0069_orig.jpg,startswith,1,Нц-41-0069,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-41-0331,Изразец,Изразца сероглиняного с антропоморфным рисунком снаружи стенки фр-т,керамика,,Фрагмент,Гориз.2,,,data/raw/images/Нц-41-0331_orig.jpg,startswith,1,Нц-41-0331,Керамика,изразец,0,прочее,0,фрагмент,0,0,0
Нц-41-1212,Тарелка,Тарелки красноглиняной с зеленой поливой и желтым геометрическим рисунком внутри венчика фр-т,керамика,D58 см,Фрагмент,Гориз.3,,,data/raw/images/Нц-41-1212_orig.jpg,startswith,1,Нц-41-1212,Керамика,тарелка,0,венчик,0,фрагмент,0,0,0
Нц-44-0131,Изразец,Изразца красноглиняного с рельефным орнаментом и зеленой поливой снаружи фр-т,керамика,5+ х 4.5+ х 0.7 см,Фрагмент,Дерн,,,data/raw/images/Нц-44-0131_orig.jpg,startswith,1,Нц-44-0131,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-44-0500,Изразец,Изразца красноглиняного с рельефным орнаментом и черной поливой снаружи фр-т,керамика,6.6+ х 4.5+ х 0.9 см,Фрагмент,Супесь серо-желтая с дерном,,,data/raw/images/Нц-44-0500_orig.jpg,startswith,1,Нц-44-0500,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-44-1181,Изразец,Изразца красноглиняного румпы фр-т,керамика,6.5+ х 3.1+ см,Фрагмент,Супесь серо-желтая/ гориз.4,,,data/raw/images/Нц-44-1181_orig.jpg,startswith,1,Нц-44-1181,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0102,Миска,Миски красноглиняной со сливом с коричневой поливой снаружи и внутри венчика фр-т,керамика,D26 см,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0102_orig.jpg,startswith,1,Нц-45-0102,Керамика,миска,0,венчик,0,фрагмент,0,0,0
Нц-45-0160,Изразец,Изразца красноглиняного румпы фр-т,керамика,,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0160_orig.jpg,startswith,1,Нц-45-0160,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0203,Изразец,Изразца красноглиняного румпы фр-т,керамика,,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0203_orig.jpg,startswith,1,Нц-45-0203,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0357,Тарелка,Тарелки фаянсовой с полихромной росписью внутри придонной части фр-т,фаянс,D15 см,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0357_orig.jpg,startswith,1,Нц-45-0357,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0375,Изразец,Изразца красноглиняного с белой поливой  фр-т,керамика,"13,8+ x 8,6+ x 4,6 см",Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0375_orig.jpg,startswith,1,Нц-45-0375,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0407,Блюдце,Блюдца фарфорового с зеленой росписью внутри профиля фр-т,фарфор,D8 см,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0407_orig.jpg,startswith,1,Нц-45-0407,Фарфор,блюдце,0,профиль,0,фрагмент,0,0,0
Нц-45-0513,Изразец,Изразца красноглиняного со следами белой поливы с синей росписью снаружи фр-т,керамика,,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0513_orig.jpg,startswith,1,Нц-45-0513,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0515,Изразец,Изразца красноглиняного со следами белой поливы с синей росписью снаружи фр-т,керамика,,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0515_orig.jpg,startswith,1,Нц-45-0515,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0522,Изразец,Изразца красноглиняного с белой поливой фр-т,керамика,"10,9+ x 5,7+ x 2,2+ см",Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0522_orig.jpg,startswith,1,Нц-45-0522,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-0905,Тарелка,Тарелки фаянсовой с черной росписью внутри донца фр-т,фаянс,D22 см,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0905_orig.jpg,startswith,1,Нц-45-0905,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0
Нц-45-0998,Миска,Миски красноглиняной с коричневой поливой и желтыми радиальными кругами венчика фр-т,керамика,D29 см,Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-0998_orig.jpg,startswith,1,Нц-45-0998,Керамика,миска,0,венчик,0,фрагмент,0,0,0
Нц-45-1013,Изразец,Изразца красноглиняного с белой поливой фр-т,керамика,"9,6+ x 8,5+ x 5,7 см",Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-1013_orig.jpg,startswith,1,Нц-45-1013,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-1232,Изразец,Изразец красноглиняный с белой поливой,керамика,"26,4 x 15,7 x 4,6 см",Целый,Шлак/ гориз.6,,,data/raw/images/Нц-45-1232_orig.jpg,startswith,1,Нц-45-1232,Керамика,изразец,0,часть не указана,1,целый,0,0,0
Нц-45-1233,Изразец,Изразец красноглиняный орнаментированный,керамика,"24,9 x 9,8 x 7,6 см",Целый,Шлак/ гориз.6,,,data/raw/images/Нц-45-1233_orig.jpg,startswith,1,Нц-45-1233,Керамика,изразец,0,часть не указана,1,целый,0,0,0
Нц-45-1236,Изразец,Изразца красноглинянного орнаментированного фр-т,керамика,"9,4+ x 13,2 x 8,9 см",Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-1236_orig.jpg,startswith,1,Нц-45-1236,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-1287,Изразец,Изразец красноглиняный с белой поливой,керамика,"14 x 10,6 x 5,8 см",Целый,Шлак/ гориз.6,,,data/raw/images/Нц-45-1287_orig.jpg,startswith,1,Нц-45-1287,Керамика,изразец,0,часть не указана,1,целый,0,0,0
Нц-45-1296,Крышка,Крышка фаянсовая с золотым кантом,фаянс,D7 см,Целый,Шлак/ гориз.6,,,data/raw/images/Нц-45-1296_orig.jpg,startswith,1,Нц-45-1296,Фаянс,крышка,0,часть не указана,1,целый,0,0,0
Нц-45-1299,Изразец,"Изразца типа ""полувал"" красноглиняного с белой поливой фр-т",керамика,"4,5+ x 14,8 x 6,5 см",Фрагмент,Шлак/ гориз.6,,,data/raw/images/Нц-45-1299_orig.jpg,startswith,1,Нц-45-1299,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0
Нц-45-1306,Изразец,Изразец красноглиняный c белой поливой,керамика,"13,4 x 8,2 x 7 см",Целый,Шлак/ гориз.6,,,data/raw/images/Нц-45-1306_orig.jpg,startswith,1,Нц-45-1306,Керамика,изразец,0,часть не указана,1,целый,0,0,0
